,city,pop_2018_est
945,Herlong,1353
946,Hiouchi,433
947,Homestead Valley,2723
948,Homewood Canyon,35
949,Honcut,135
950,Hood,303
951,Hopland,921
952,Hornitos,61
953,Hat Creek,164
954,Hyampom,165
955,Idlewild,0
956,Indianola,686
957,Indio Hills,708
958,Jacumba,202
959,Janesville,1278
960,Tustin,80140
961,Beale AFB,1039
962,Ashland,23635
963,Diablo,364
964,Alamo,15317
965,Byron,1348
966,Richmond,109340
967,Vine Hill,3887
968,Hilmar-Irwin,5846
969,Belmont,27110
970,Brisbane,4692
971,Menlo Park,33869
972,Millbrae,22703
973,Newman,11119
974,Riverdale Park,1301
975,Porterville,59797
976,Galt,25675
977,La Riviera,10851
978,Arnold,2605
979,Dorrington,205
980,San Jacinto,47474
981,Arvin,21005
982,California City,13646
983,Derby Acres,380
984,Yreka,7551
985,El Paso de Robles (Paso Robles),31656
986,Moss Landing,61
987,Belvedere,2098
988,Fairfax,7591
989,Cassel,176
990,Cedarville,360
991,Centerville,366
992,Chalfant,999
993,Cherokee,139
994,Clay,1083
995,Clear Creek,226
996,Cherokee Strip,191
997,Clarksburg,442
998,Clearlake Riviera,3933
999,Yosemite Valley,1110
1000,Port Costa,186
1001,San Pablo,30839
1002,Lake Nacimiento,2884
1003,Etna,735
1004,Live Oak,8622
1005,Sutter,2994
1006,East Foothills,6278
1007,Lexington Hills,2603
1008,Carmel-by-the-Sea,3855
1009,Del Monte Forest,4197
1010,San Lucas,472
1011,Spreckels,385
1012,Fallbrook,33021
1013,Granite Hills,2833
1014,Georgetown,2668
1015,McCloud,1072
1016,Lompico,887
1017,Long Barn,93
1018,Lookout,76
1019,Los Berros,541
1020,Los Olivos,831
1021,Los Osos,16292
1022,Los Ranchos,1730
1023,Lucerne Valley,5423
1024,Lytle Creek,724
1025,Mabie,74
1026,McClellan Park,809
1027,McClenney Tract,41
1028,McGee Creek,0
1029,McSwain,4137
1030,East Whittier,10391
1031,Jurupa Valley,103784
1032,Garden Acres,10701
1033,Lincoln Village,4768
1034,Carlsbad,113670
1035,Chula Vista,266468
1036,Clipper Mills,319
1037,Coarsegold,1643
1038,Coffee Creek,186
1039,Cohasset,990
1040,Cold Springs (El Dorado County),675
1041,Cold Springs (Tuolumne County),108
1042,Coleville,515
1043,College City,239
1044,Coloma,673
1045,Comptche,83
1046,Coronita,3138
1047,Courtland,537
1048,Collierville,2642
1049,Cowan,570
1050,Cressey,356
1051,Creston,30
1052,Crowley Lake,889
1053,Crows Landing,278
1054,Cuyama,9
1055,Daphnedale Park,135
1056,Davenport,264
1057,Delft Colony,653
1058,Descanso,1644
1059,Desert Center,264
1060,Desert Edge,3343
1061,Desert Palms,6947
1062,Diablo Grande,841
1063,Dobbins,662
1064,Dogtown,2629
1065,Dos Palos Y,242
1066,Douglas City,668
1067,Downieville,114
1068,Talmage,921
1069,Home Garden,1643
1070,Guerneville,4808
1071,Manton,372
1072,Rancho Tehama Reserve,1922
1073,Durham,5863
1074,Armona,3795
1075,Buena Park,82781
1076,San Leandro,90103
1077,Bowles,194
1078,Huron,7019
1079,Sanger,24978
1080,Alhambra,84974
1081,Bradbury,916
1082,El Sobrante (Contra Costa County),13736
1083,Floriston,20
1084,Cleone,804
1085,Flournoy,171
