,city,pop_2018_est,mh_spaces
924,Heber,4686,54.0
925,Salton City,5611,185.0
926,Cartago,7,4.0
927,Furnace Creek,127,
928,Oak Park,13730,
929,San Buenaventura (Ventura),110234,
930,Greenacres,5757,
931,Green Acres,2542,
932,Greenfield,3534,84.0
933,Green Valley (Los Angeles County),973,
934,Green Valley (Solano County),1572,
935,Grimes,358,26.0
936,Grizzly Flats,1087,
937,Groveland,307,137.0
938,Guinda,175,
939,Happy Camp,810,66.0
940,Hardwick,30,
941,Hartland,0,
942,Hartley,2907,
943,Hasley Canyon,1085,
944,Herald,1058,
945,Herlong,1353,63.0
946,Hiouchi,433,
947,Homestead Valley,2723,
948,Homewood Canyon,35,
949,Honcut,135,
950,Hood,303,20.0
951,Hopland,921,
952,Hornitos,61,
953,Hat Creek,164,
954,Hyampom,165,12.0
955,Idlewild,0,
956,Indianola,686,
957,Indio Hills,708,
958,Jacumba,202,20.0
959,Janesville,1278,31.0
960,Tustin,80140,744.0
961,Beale AFB,1039,
962,Ashland,23635,
963,Diablo,364,
964,Alamo,15317,
965,Byron,1348,67.0
966,Richmond,109340,
967,Vine Hill,3887,
968,Hilmar-Irwin,5846,
969,Belmont,27110,91.0
970,Brisbane,4692,61.0
971,Menlo Park,33869,
972,Millbrae,22703,
973,Newman,11119,71.0
974,Riverdale Park,1301,
975,Porterville,59797,1105.0
976,Galt,25675,343.0
977,La Riviera,10851,
978,Arnold,2605,
979,Dorrington,205,2.0
980,San Jacinto,47474,1846.0
981,Arvin,21005,228.0
982,California City,13646,102.0
983,Derby Acres,380,
984,Yreka,7551,344.0
985,El Paso de Robles (Paso Robles),31656,
986,Moss Landing,61,145.0
987,Belvedere,2098,
988,Fairfax,7591,
989,Cassel,176,18.0
990,Cedarville,360,8.0
991,Centerville,366,
992,Chalfant,999,
993,Cherokee,139,
994,Clay,1083,
995,Clear Creek,226,
996,Cherokee Strip,191,
997,Clarksburg,442,
998,Clearlake Riviera,3933,
999,Yosemite Valley,1110,
1000,Port Costa,186,
1001,San Pablo,30839,718.0
1002,Lake Nacimiento,2884,
1003,Etna,735,43.0
1004,Live Oak,8622,101.0
1005,Sutter,2994,
1006,East Foothills,6278,
1007,Lexington Hills,2603,
1008,Carmel-by-the-Sea,3855,
1009,Del Monte Forest,4197,
1010,San Lucas,472,
1011,Spreckels,385,
1012,Fallbrook,33021,791.0
1013,Granite Hills,2833,
1014,Georgetown,2668,33.0
1015,McCloud,1072,
1016,Lompico,887,
1017,Long Barn,93,
1018,Lookout,76,
1019,Los Berros,541,
